month,day,births
1,1,116030
1,2,144083
1,3,170115
1,4,171663
1,5,166682
1,6,164167
1,7,167622
1,8,163078
1,9,163838
1,10,171353
1,11,170299
1,12,165975
1,13,159289
1,14,168390
1,15,161300
1,16,163044
1,17,169280
1,18,168555
1,19,161843
1,20,162332
1,21,164719
1,22,162851
1,23,167275
1,24,171684
1,25,169222
1,26,164093
1,27,162595
1,28,165496
1,29,161292
1,30,165439
1,31,168984
2,1,169444
2,2,166066
2,3,163254
2,4,166661
2,5,163391
2,6,166125
2,7,173627
2,8,170915
2,9,164291
2,10,165466
2,11,168381
2,12,166773
2,13,162957
2,14,179978
2,15,172798
2,16,165174
2,17,163089
2,18,167037
2,19,162690
2,20,167262
2,21,170500
2,22,171365
2,23,164932
2,24,163266
2,25,167594
2,26,163313
2,27,166548
2,28,170927
3,1,171698
3,2,164841
3,3,166872
3,4,164685
3,5,167257
3,6,167603
3,7,171634
3,8,169037
3,9,164696
3,10,164649
3,11,163429
3,12,168054
3,13,163494
3,14,172129
3,15,169076
3,16,164018
3,17,167609
3,18,164085
3,19,166721
3,20,169955
3,21,173095
3,22,168874
3,23,164082
3,24,164130
3,25,164548
3,26,165840
3,27,167368
3,28,171550
3,29,166675
3,30,163623
3,31,161634
4,1,154737
4,2,168693
4,3,168316
4,4,174347
4,5,168654
4,6,162287
4,7,163074
4,8,163080
4,9,165299
4,10,166771
4,11,171436
4,12,168896
4,13,157511
4,14,163144
4,15,163083
4,16,166774
4,17,167526
4,18,170365
4,19,167745
4,20,163566
4,21,162374
4,22,162558
4,23,165528
4,24,166650
4,25,170685
4,26,167615
4,27,162582
4,28,162544
4,29,160991
4,30,163919
5,1,169438
5,2,171861
5,3,168072
5,4,162243
5,5,166073
5,6,163325
5,7,166789
5,8,168607
5,9,170670
5,10,170894
5,11,164192
5,12,165193
5,13,159795
5,14,169045
5,15,171529
5,16,174965
5,17,171265
5,18,165771
5,19,165141
5,20,167876
5,21,172074
5,22,173607
5,23,178891
5,24,174916
5,25,166475
5,26,154955
5,27,159894
5,28,161719
5,29,165097
5,30,169548
5,31,165525
6,1,171348
6,2,171526
6,3,168576
6,4,171559
6,5,171822
6,6,173566
6,7,172165
6,8,168962
6,9,167096
6,10,168219
6,11,170388
6,12,172764
6,13,171122
6,14,174340
6,15,169104
6,16,169648
6,17,169293
6,18,173961
6,19,171835
6,20,177985
6,21,174078
6,22,169511
6,23,169315
6,24,169441
6,25,174558
6,26,175103
6,27,179952
6,28,178489
6,29,173792
6,30,173842
7,1,177820
7,2,180817
7,3,175346
7,4,132229
7,5,161091
7,6,176278
7,7,183246
7,8,179420
7,9,180238
7,10,180936
7,11,183410
7,12,178705
7,13,170080
7,14,175676
7,15,176148
7,16,179766
7,17,180276
7,18,182886
7,19,177966
7,20,174276
7,21,175720
7,22,174622
7,23,178421
7,24,178750
7,25,181972
7,26,178278
7,27,174187
7,28,174153
7,29,173548
7,30,176980
7,31,177177
8,1,183254
8,2,178928
8,3,173219
8,4,174071
8,5,174444
8,6,177008
8,7,178909
8,8,186328
8,9,181514
8,10,175301
8,11,175218
8,12,176153
8,13,175084
8,14,180133
8,15,185391
8,16,182187
8,17,176471
8,18,176013
8,19,174576
8,20,180359
8,21,179467
8,22,183835
8,23,180161
8,24,174864
8,25,174832
8,26,174655
8,27,179733
8,28,183202
8,29,185073
8,30,182411
8,31,177376
9,1,163979
9,2,165886
9,3,167330
9,4,172536
9,5,178833
9,6,175863
9,7,176509
9,8,181846
9,9,184662
9,10,186668
9,11,175491
9,12,191024
9,13,183131
9,14,182875
9,15,182974
9,16,181365
9,17,185792
9,18,186387
9,19,190435
9,20,188123
9,21,181071
9,22,179829
9,23,180319
9,24,182777
9,25,183073
9,26,186322
9,27,182576
9,28,175661
9,29,173932
9,30,172323
10,1,179334
10,2,178548
10,3,181481
10,4,177327
10,5,172521
10,6,170513
10,7,169674
10,8,172969
10,9,171801
10,10,180271
10,11,174393
10,12,169006
10,13,162310
10,14,167291
10,15,172428
10,16,171885
10,17,176021
10,18,172822
10,19,166444
10,20,166994
10,21,166381
10,22,171230
10,23,170999
10,24,175840
10,25,173330
10,26,167233
10,27,167019
10,28,167608
10,29,168606
10,30,166644
10,31,153942
11,1,176290
11,2,170473
11,3,168772
11,4,167638
11,5,171722
11,6,171454
11,7,175619
11,8,172970
11,9,167177
11,10,167194
11,11,168687
11,12,170386
11,13,166498
11,14,175402
11,15,174530
11,16,169573
11,17,168713
11,18,168878
11,19,173247
11,20,177926
11,21,180074
11,22,160582
11,23,148131
11,24,150369
11,25,149677
11,26,155791
11,27,150190
11,28,157291
11,29,167069
11,30,166427
12,1,170255
12,2,168725
12,3,171088
12,4,169826
12,5,173695
12,6,169540
12,7,164548
12,8,164440
12,9,163318
12,10,168432
12,11,168774
12,12,179554
12,13,168793
12,14,167888
12,15,168638
12,16,170252
12,17,176237
12,18,180913
12,19,186685
12,20,186593
12,21,179645
12,22,172148
12,23,155501
12,24,120516
12,25,96568
12,26,148113
12,27,182839
12,28,182888
12,29,181021
12,30,178769
12,31,158230
(blank),(blank),
Grand Total,,62187024
